1573997569360,Mass Air Flow,2.14
1573997569512,Vehicle Speed,32
1573997569687,Mass Air Flow,2.14
1573997569862,Vehicle Speed,32
1573997570032,Mass Air Flow,2.14
1573997570197,Vehicle Speed,32
1573997570345,Mass Air Flow,2.08
1573997570493,Vehicle Speed,32
1573997570645,Mass Air Flow,2.14
1573997570877,Vehicle Speed,32
1573997571054,Mass Air Flow,2.14
1573997571227,Vehicle Speed,32
1573997571391,Mass Air Flow,2.14
1573997571547,Vehicle Speed,32
1573997571722,Mass Air Flow,2.12
1573997571897,Vehicle Speed,32
1573997572063,Mass Air Flow,2.16
1573997572239,Vehicle Speed,33
1573997572457,Mass Air Flow,2.2
1573997572626,Vehicle Speed,33
1573997572785,Mass Air Flow,2.36
1573997572957,Vehicle Speed,34
1573997573130,Mass Air Flow,2.22
1573997573310,Vehicle Speed,34
1573997573462,Mass Air Flow,2.16
1573997573635,Vehicle Speed,33
1573997573814,Mass Air Flow,2.22
1573997574052,Vehicle Speed,33
1573997574225,Mass Air Flow,2.36
1573997574398,Vehicle Speed,30
1573997574574,Mass Air Flow,2.22
1573997574750,Vehicle Speed,30
1573997574924,Mass Air Flow,2.24
1573997575101,Vehicle Speed,27
1573997575274,Mass Air Flow,2.2
1573997575414,Vehicle Speed,27
1573997575656,Mass Air Flow,2.24
1573997575827,Vehicle Speed,24
1573997576003,Mass Air Flow,2.28
1573997576176,Vehicle Speed,24
1573997576334,Mass Air Flow,2.3
1573997576506,Vehicle Speed,20
1573997576686,Mass Air Flow,2.62
1573997576861,Vehicle Speed,20
1573997577039,Mass Air Flow,2.58
1573997577271,Vehicle Speed,16
1573997577422,Mass Air Flow,2.52
1573997577596,Vehicle Speed,16
1573997577772,Mass Air Flow,2.62
1573997577948,Vehicle Speed,11
1573997578123,Mass Air Flow,2.58
1573997578290,Vehicle Speed,11
1573997578428,Mass Air Flow,2.6
1573997578582,Vehicle Speed,6
1573997578748,Mass Air Flow,3.36
1573997578937,Vehicle Speed,6
1573997579115,Mass Air Flow,3.62
1573997579291,Vehicle Speed,3
1573997579442,Mass Air Flow,3.82
1573997579616,Vehicle Speed,3
1573997579793,Mass Air Flow,4.28
1573997579967,Vehicle Speed,1
1573997580134,Mass Air Flow,3.92
1573997580322,Vehicle Speed,1
1573997580510,Mass Air Flow,3.48
1573997580663,Vehicle Speed,0
1573997580819,Mass Air Flow,3.44
1573997580997,Vehicle Speed,0
1573997581164,Mass Air Flow,3.58
1573997581307,Vehicle Speed,0
1573997581459,Mass Air Flow,3.82
1573997581626,Vehicle Speed,0
1573997581789,Mass Air Flow,3.96
1573997582014,Vehicle Speed,0
1573997582185,Mass Air Flow,4.12
1573997582349,Vehicle Speed,0
1573997582534,Mass Air Flow,4.04
1573997582702,Vehicle Speed,0
1573997582878,Mass Air Flow,3.8
1573997583053,Vehicle Speed,0
1573997583222,Mass Air Flow,3.74
1573997583392,Vehicle Speed,0
1573997583676,Mass Air Flow,3.78
1573997583851,Vehicle Speed,0
1573997584027,Mass Air Flow,3.9
1573997584197,Vehicle Speed,0
1573997584371,Mass Air Flow,3.94
1573997584545,Vehicle Speed,0
1573997584724,Mass Air Flow,3.9
1573997584907,Vehicle Speed,0
1573997585116,Mass Air Flow,3.9
1573997585303,Vehicle Speed,0
1573997585454,Mass Air Flow,3.72
1573997585629,Vehicle Speed,0
1573997585794,Mass Air Flow,3.6
1573997585964,Vehicle Speed,0
1573997586162,Mass Air Flow,3.58
1573997586310,Vehicle Speed,0
1573997586456,Mass Air Flow,3.6
1573997586619,Vehicle Speed,0
1573997586861,Mass Air Flow,3.7
1573997587034,Vehicle Speed,0
1573997587208,Mass Air Flow,4.18
1573997587364,Vehicle Speed,0
1573997587520,Mass Air Flow,4.04
1573997587698,Vehicle Speed,0
1573997587877,Mass Air Flow,3.6
1573997588049,Vehicle Speed,0
1573997588219,Mass Air Flow,3.32
1573997588456,Vehicle Speed,0
1573997588625,Mass Air Flow,3.26
1573997588796,Vehicle Speed,0
1573997588976,Mass Air Flow,3.28
1573997589152,Vehicle Speed,0
1573997589308,Mass Air Flow,3.5
1573997589462,Vehicle Speed,0
1573997589639,Mass Air Flow,3.7
1573997589817,Vehicle Speed,0
1573997590016,Mass Air Flow,3.64
1573997590189,Vehicle Speed,0
1573997590336,Mass Air Flow,3.42
1573997590490,Vehicle Speed,0
1573997590663,Mass Air Flow,3.26
1573997590841,Vehicle Speed,0
1573997591016,Mass Air Flow,3.26
1573997591182,Vehicle Speed,0
1573997591338,Mass Air Flow,3.02
1573997591526,Vehicle Speed,0
1573997591715,Mass Air Flow,2.84
1573997591887,Vehicle Speed,0
1573997592065,Mass Air Flow,2.46
1573997592248,Vehicle Speed,0
1573997592390,Mass Air Flow,2.32
1573997592542,Vehicle Speed,0
1573997592718,Mass Air Flow,2.38
1573997592894,Vehicle Speed,0
1573997593066,Mass Air Flow,2.36
1573997593252,Vehicle Speed,0
1573997593411,Mass Air Flow,2.22
1573997593584,Vehicle Speed,0
1573997593748,Mass Air Flow,2.36
1573997593921,Vehicle Speed,0
1573997594095,Mass Air Flow,2.34
1573997594261,Vehicle Speed,0
1573997594410,Mass Air Flow,2.36
1573997594586,Vehicle Speed,0
1573997594741,Mass Air Flow,2.26
1573997594936,Vehicle Speed,0
1573997595112,Mass Air Flow,2.22
1573997595278,Vehicle Speed,0
1573997595430,Mass Air Flow,2.22
1573997595606,Vehicle Speed,0
1573997595782,Mass Air Flow,2.24
1573997595961,Vehicle Speed,0
1573997596142,Mass Air Flow,3.08
1573997596322,Vehicle Speed,0
1573997596514,Mass Air Flow,3.42
1573997596686,Vehicle Speed,0
1573997596863,Mass Air Flow,3.28
1573997597038,Vehicle Speed,1
1573997597210,Mass Air Flow,3.24
1573997597368,Vehicle Speed,1
1573997597537,Mass Air Flow,3.44
1573997597710,Vehicle Speed,2
1573997597928,Mass Air Flow,6.44
1573997598116,Vehicle Speed,2
1573997598278,Mass Air Flow,12.88
1573997598422,Vehicle Speed,3
1573997598585,Mass Air Flow,13.48
1573997598760,Vehicle Speed,3
1573997598930,Mass Air Flow,17.2
1573997599098,Vehicle Speed,6
1573997599248,Mass Air Flow,19.18
1573997599397,Vehicle Speed,6
1573997599611,Mass Air Flow,20.6
1573997599782,Vehicle Speed,11
1573997599951,Mass Air Flow,20.38
1573997600115,Vehicle Speed,11
1573997600264,Mass Air Flow,20.22
1573997600405,Vehicle Speed,16
1573997600557,Mass Air Flow,20.42
1573997600733,Vehicle Speed,16
1573997600898,Mass Air Flow,20.22
1573997601048,Vehicle Speed,20
